电信测试,#genre#
湖北卫视HD,http://42.225.145.227:8089/hls/40/index.m3u8
四川卫视,http://42.225.145.227:8089/hls/41/index.m3u8
黑龙江卫视HD,http://42.225.145.227:8089/hls/42/index.m3u8
云南卫视,http://42.225.145.227:8089/hls/43/index.m3u8
贵州卫视,http://42.225.145.227:8089/hls/44/index.m3u8
辽宁卫视,http://42.225.145.227:8089/hls/45/index.m3u8
东南卫视,http://42.225.145.227:8089/hls/46/index.m3u8
广东卫视,http://42.225.145.227:8089/hls/48/index.m3u8
河南都市,http://42.225.145.227:8089/hls/18/index.m3u8
河南民生,http://42.225.145.227:8089/hls/19/index.m3u8
河南法治,http://42.225.145.227:8089/hls/20/index.m3u8
河南电视剧,http://42.225.145.227:8089/hls/21/index.m3u8
河南新闻,http://42.225.145.227:8089/hls/22/index.m3u8
河南公共,http://42.225.145.227:8089/hls/24/index.m3u8

河南-移动,#genre#
cctv1hd,http://39.165.81.230:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv2hd,http://39.165.81.230:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
cctv3hd,http://39.165.81.230:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
cctv4hd,http://39.165.81.230:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
cctv5,http://39.165.81.230:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv5p,http://39.165.81.230:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
cctv6hd,http://39.165.81.230:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
cctv7hd,http://39.165.81.230:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
cctv8hd,http://39.165.81.230:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
cctv9hd,http://39.165.81.230:85/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
cctv10hd,http://39.165.81.230:85/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
cctv11,http://39.165.81.230:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
cctv12hd,http://39.165.81.230:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
cctv13,http://39.165.81.230:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
cctv14hd,http://39.165.81.230:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://39.165.81.230:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0

haws,http://39.165.81.230:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
hnwshd,http://39.165.81.230:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
